mnemonic,number,id
EVSC,4100,1186
ARAH,988,3023
PLCP,5410,9785
DRAM,4651,13519
DRAM,8410,696
SARC,5010,10860
FREN,3051,1218
FREN,3032,1214
EVSC,9998,1204
FREN,3559,1219
FREN,3585,1220
HIUS,5559,6813
MATH,1110,8307
EVSC,8998,1201
FREN,4020,1223
EVSC,8999,1202
EVSC,9995,1203
FREN,3655,1222
PSHM,3050,11993
MATH,4993,1891
FREN,3030,1212
FREN,3652,1221
CHE,496,3412
CHE,793,3419
FREN,2020,1210
FREN,3043,1217
ENCR,8900,12379
KINE,1720,11336
NUIP,3230,13158
FREN,3042,1216
FREN,8560,1238
FREN,4813,1227
DS,6501,13520
FREN,7500,1236
FREN,8998,1242
ASTR,2110,272
FREN,5540,1230
JAPN,4710,8134
KINE,1725,11337
RELG,5780,7106
RELG,5541,2626
FREN,5581,1232
GBUS,7211,1245
FREN,5998,1234
FREN,5584,1233
FREN,8540,1237
FREN,8581,1239
FREN,8584,1240
FREN,8993,1241
FREN,9998,1243
EAST,5861,13521
RELG,5485,12257
FREN,9999,1244
LPPP,7750,14498
STS,2160,9381
HIUS,6008,6814
SWAG,3130,9382
KOR,2020,8138
JAPN,5020,8136
